pixels,t0,t1,t2
"(12, 13)",(255),(63.75),(63.75)
"(12, 14)",(255),(25.5),(25.5)
"(12, 15)",(255),(63.75),(63.75)
"(12, 16)",(255),(12.75),(25.5)
"(12, 17)",(255),(12.75),(0.0)
"(12, 18)",(255),(51.0),(38.25)
"(12, 19)",(255),(51.0),(51.0)
"(13, 0)",(255),(12.75),(0.0)
"(13, 1)",(255),(38.25),(25.5)
"(13, 2)",(255),(38.25),(51.0)
"(13, 3)",(255),(38.25),(38.25)
"(13, 4)",(255),(0.0),(12.75)
"(13, 5)",(255),(25.5),(25.5)
"(13, 6)",(255),(25.5),(12.75)
"(13, 7)",(255),(63.75),(38.25)
"(13, 8)",(255),(12.75),(51.0)
"(13, 9)",(255),(12.75),(12.75)
"(13, 10)",(255),(38.25),(38.25)
"(13, 11)",(255),(12.75),(51.0)
"(13, 12)",(255),(63.75),(25.5)
"(13, 13)",(255),(12.75),(12.75)
"(13, 14)",(255),(38.25),(12.75)
"(13, 15)",(255),(25.5),(38.25)
"(13, 16)",(255),(25.5),(25.5)
"(13, 17)",(255),(76.5),(76.5)
"(13, 18)",(255),(51.0),(51.0)
"(13, 19)",(255),(25.5),(25.5)
"(14, 0)",(255),(0.0),(12.75)
"(14, 1)",(255),(25.5),(25.5)
"(14, 2)",(255),(25.5),(25.5)
"(14, 3)",(255),(25.5),(25.5)
"(14, 4)",(255),(76.5),(76.5)
"(14, 5)",(255),(12.75),(12.75)
"(14, 6)",(255),(51.0),(51.0)
"(14, 7)",(255),(51.0),(38.25)
"(14, 8)",(255),(0.0),(38.25)
"(14, 9)",(255),(25.5),(25.5)
"(14, 10)",(255),(12.75),(12.75)
"(14, 11)",(255),(63.75),(51.0)
"(14, 12)",(255),(12.75),(25.5)
"(14, 13)",(255),(38.25),(38.25)
"(14, 14)",(255),(25.5),(38.25)
"(14, 15)",(255),(89.25),(76.5)
"(14, 16)",(255),(38.25),(38.25)
"(14, 17)",(255),(12.75),(12.75)
"(14, 18)",(255),(12.75),(38.25)
"(14, 19)",(255),(89.25),(102.0)
"(15, 0)",(255),(89.25),(38.25)
"(15, 1)",(255),(12.75),(38.25)
"(15, 2)",(255),(38.25),(38.25)
"(15, 3)",(255),(38.25),(25.5)
"(15, 4)",(255),(25.5),(25.5)
"(15, 5)",(255),(102.0),(76.5)
"(15, 6)",(255),(63.75),(76.5)
"(15, 7)",(255),(38.25),(25.5)
"(15, 8)",(255),(0.0),(25.5)
"(15, 9)",(255),(25.5),(25.5)
"(15, 10)",(255),(12.75),(0.0)
"(15, 11)",(255),(76.5),(76.5)
"(15, 12)",(255),(38.25),(76.5)
"(15, 13)",(255),(12.75),(0.0)
"(15, 14)",(255),(38.25),(38.25)
"(15, 15)",(255),(38.25),(51.0)
"(15, 16)",(255),(25.5),(0.0)
"(15, 17)",(255),(38.25),(25.5)
"(15, 18)",(255),(12.75),(0.0)
"(15, 19)",(255),(25.5),(25.5)
"(16, 0)",(255),(38.25),(51.0)
"(16, 1)",(255),(12.75),(12.75)
"(16, 2)",(255),(12.75),(25.5)
"(16, 3)",(255),(25.5),(25.5)
"(16, 4)",(255),(0.0),(12.75)
"(16, 5)",(255),(0.0),(12.75)
"(16, 6)",(255),(51.0),(12.75)
"(16, 7)",(255),(0.0),(12.75)
"(16, 8)",(255),(25.5),(12.75)
"(16, 9)",(255),(38.25),(38.25)
"(16, 10)",(255),(51.0),(25.5)
"(16, 11)",(255),(0.0),(0.0)
"(16, 12)",(255),(12.75),(0.0)
"(16, 13)",(255),(25.5),(12.75)
"(16, 14)",(255),(25.5),(51.0)
"(16, 15)",(255),(25.5),(12.75)
"(16, 16)",(255),(12.75),(25.5)
"(16, 17)",(255),(12.75),(38.25)
"(16, 18)",(255),(0.0),(25.5)
"(16, 19)",(255),(38.25),(38.25)
"(17, 0)",(255),(25.5),(0.0)
"(17, 1)",(255),(12.75),(25.5)
"(17, 2)",(255),(51.0),(38.25)
"(17, 3)",(255),(12.75),(12.75)
"(17, 4)",(255),(51.0),(51.0)
"(17, 5)",(255),(51.0),(38.25)
"(17, 6)",(255),(25.5),(38.25)
"(17, 7)",(255),(51.0),(12.75)
"(17, 8)",(255),(38.25),(63.75)
"(17, 9)",(255),(38.25),(38.25)
"(17, 10)",(255),(12.75),(38.25)
"(17, 11)",(255),(38.25),(38.25)
"(17, 12)",(255),(12.75),(12.75)
"(17, 13)",(255),(12.75),(12.75)
"(17, 14)",(255),(25.5),(25.5)
"(17, 15)",(255),(38.25),(25.5)
"(17, 16)",(255),(63.75),(38.25)
"(17, 17)",(255),(25.5),(25.5)
"(17, 18)",(255),(25.5),(25.5)
"(17, 19)",(255),(12.75),(12.75)
"(18, 0)",(255),(51.0),(25.5)
"(18, 1)",(255),(12.75),(25.5)
"(18, 2)",(255),(51.0),(63.75)
"(18, 3)",(255),(25.5),(25.5)
"(18, 4)",(255),(12.75),(0.0)
"(18, 5)",(255),(12.75),(12.75)
"(18, 6)",(255),(25.5),(25.5)
"(18, 7)",(255),(25.5),(63.75)
"(18, 8)",(255),(12.75),(25.5)
"(18, 9)",(255),(25.5),(12.75)
"(18, 10)",(255),(38.25),(38.25)
"(18, 11)",(255),(63.75),(51.0)
"(18, 12)",(255),(63.75),(38.25)
"(18, 13)",(255),(12.75),(38.25)
"(18, 14)",(255),(25.5),(25.5)
"(18, 15)",(255),(25.5),(38.25)
"(18, 16)",(255),(38.25),(76.5)
"(18, 17)",(255),(38.25),(25.5)
"(18, 18)",(255),(25.5),(25.5)
"(18, 19)",(255),(51.0),(38.25)
"(19, 0)",(255),(51.0),(25.5)
"(19, 1)",(255),(38.25),(63.75)
"(19, 2)",(255),(89.25),(114.75)
"(19, 3)",(255),(63.75),(51.0)
"(19, 4)",(255),(12.75),(38.25)
"(19, 5)",(255),(12.75),(0.0)
"(19, 6)",(255),(25.5),(38.25)
"(19, 7)",(255),(25.5),(25.5)
"(19, 8)",(255),(51.0),(51.0)
"(19, 9)",(255),(25.5),(38.25)
"(19, 10)",(255),(63.75),(51.0)
"(19, 11)",(255),(0.0),(12.75)
"(19, 12)",(255),(38.25),(51.0)
"(19, 13)",(255),(51.0),(51.0)
"(19, 14)",(255),(12.75),(25.5)
"(19, 15)",(255),(25.5),(25.5)
"(19, 16)",(255),(38.25),(12.75)
"(19, 17)",(255),(51.0),(76.5)
"(19, 18)",(255),(25.5),(38.25)
"(19, 19)",(255),(63.75),(76.5)
